carrier_id,date_filled
5767272,10/07/2024
5767445,10/08/2024
5767464,10/04/2024
5767478,09/24/2024
5767536,2024-10-06
5767538,10/07/2024
5767597,10/09/2024
5767638,10/08/2024
5767676,10/04/2024
5767862,09/30/2024
5767886,10/09/2024
5767887,10/10/2024
5767908,10/09/2024
5767943,10/12/2024
5767946,10/11/2024
5767996,10/03/2024
5767998,2024-10-14
5768082,10/15/2024
5768268,10/15/2024
5768324,10/16/2024
5768326,10/16/2024
5768328,10/14/2024
5768329,10/14/2024
5768363,2024-10-16
5768400,10/16/2024
5768461,09/11/2024
5768462,10/15/2024
5768472,10/14/2024
5768547,10/16/2024
5768702,10/21/2024
5768745,10/21/2024
5768783,10/15/2024
5768925,10/22/2024
5769061,10/23/2024
5769063,10/21/2024
5769082,10/15/2024
5769086,10/22/2024
5769116,10/16/2024
5769266,10/25/2024
5769416,10/27/2024
5769417,10/27/2024
5769772,10/26/2024
5769812,10/29/2024
5770043,11/01/2024
5770124,11/01/2024
5770321,11/05/2024
5770327,2024-11-04
5770357,11/04/2024
5770502,11/06/2024
5770665,11/07/2024
5770671,2024-09-24
5770714,11/07/2024
5770757,11/06/2024
5770973,11/08/2024
5771186,11/13/2024
5771230,11/11/2024
5771291,11/14/2024
5771296,11/08/2024
5771298,11/12/2024
5771300,11/12/2024
5771431,11/14/2024
5771498,11/15/2024
5771553,11/18/2024
5771612,11/18/2024
5771615,11/18/2024
5771616,11/18/2024
5771635,09/29/2024
5771720,11/19/2024
5771754,11/20/2024
5771756,11/15/2024
5771912,11/18/2024
5772230,11/23/2024
5772233,11/21/2024
5772275,11/22/2024
5772491,11/25/2024
5772493,11/18/2024
5772538,11/26/2024
5772545,11/19/2024
5772659,11/27/2024
5772679,11/27/2024
5772716,11/28/2024
5772837,12/2/2024
5773020,11/21/2024
5773090,12/3/2024
5773246,11/30/2024
5773258,11/30/2024
5773279,12/3/2024
5773312,12/5/2024
5773429,12/3/2024
5773448,12/6/2024
5773547,12/5/2024
5773821,12/10/2024
5773825,12/10/2024
5773928,12/10/2024
5774098,12/12/2024
5774314,12/17/2024
5774368,12/15/2024
5774422,12/17/2024
5774583,12/11/2024
5774585,12/17/2024
5774586,12/18/2024
5774617,12/19/2024
5774688,12/19/2024
5774699,12/19/2024
5774720,12/20/2024
5774910,12/23/2024
5774938,12/23/2024
5774976,12/16/2024
5775078,12/26/2024
5775127,12/5/2024
5775283,12/29/2024
5775438,01/2/2025
5775518,01/1/2025
5775555,01/3/2025
5775661,01/3/2025
5775753,01/3/2025
5775777,01/7/2025
5775886,12/30/2024
5775891,01/8/2025
5775904,01/7/2025
5776046,01/4/2025
5776056,12/28/2024
5776163,01/3/2025
5776205,01/6/2025
5776230,01/10/2025
5776283,01/10/2025
5776696,01/15/2025
5776697,01/15/2025
5776791,01/16/2025
5776900,01/15/2025
5776929,01/16/2025
5777108,01/20/2025
5777134,01/18/2025
5777141,01/20/2025
5777267,01/15/2025
5777274,01/14/2025
5777452,01/21/2025
5777453,01/21/2025
5777521,01/17/2025
5777597,01/21/2025
5777605,01/24/2025
5777615,01/20/2025
5777644,01/24/2025
5777685,01/22/2025
5778077,01/28/2025
5778078,01/27/2025
5778080,01/29/2025
5778118,01/29/2025
5778365,2025-01-31
5778504,01/27/2025
5778515,01/31/2025
5778539,01/30/2025
5778577,01/31/2025
5778580,01/30/2025
5778687,01/27/2025
5778697,02/4/2025
5778724,02/4/2025
5778870,2025-02-03
5778884,02/5/2025
5778932,02/5/2025
5779102,02/4/2025
5779109,02/6/2025
5779216,02/6/2025
5779325,02/4/2025
5779493,02/11/2025
5779724,12/26/2024
5779801,02/13/2025
5779908,02/11/2025
5779956,02/12/2025
5780290,02/18/2025
5780312,02/18/2025
5780315,02/18/2025
5780316,02/18/2025
5780319,02/11/2025
5780345,02/4/2025
5780465,02/19/2025
5780912,02/24/2025
5780965,02/24/2025
5781078,02/24/2025
5781079,02/24/2025
5781178,02/24/2025
5781286,02/26/2025
5781288,02/21/2025
5781456,02/27/2025
5781520,02/7/2025
5781528,02/24/2025
5781693,02/25/2025
5781775,03/3/2025
5781828,02/26/2025
5781840,02/28/2025
5781857,02/26/2025
5781858,02/25/2025
5781880,02/27/2025
5781881,02/26/2025
5781883,02/24/2025
5781891,02/24/2025
5782098,03/5/2025
5782239,03/3/2025
5782314,03/6/2025
5782460,03/7/2025
5782575,03/3/2025
5782576,03/4/2025
5782580,03/5/2025
5782632,03/5/2025
5782723,03/6/2025
5782827,03/10/2025
5782872,03/11/2025
5782910,03/10/2025
5782919,03/11/2025
5782930,03/10/2025
5782937,03/11/2025
5782962,03/10/2025
5783025,02/20/2025
5783039,03/12/2025
5783041,03/12/2025
5783157,03/12/2025
5783180,03/10/2025
5783226,03/14/2025
5783350,03/15/2025
5783358,03/15/2025
5783678,03/12/2025
5783691,03/17/2025
5783693,03/18/2025
5783695,03/14/2025
5783747,03/12/2025
5783748,03/18/2025
5783751,03/12/2025
5783771,03/13/2025
5783933,03/19/2025
5783966,03/12/2025
5783979,03/11/2025
5783991,03/13/2025
5784091,02/20/2025
5784170,02/20/2025
5784308,03/20/2025
5784325,03/24/2025
5784526,03/25/2025
5784552,03/21/2025
5784620,03/25/2025
5784817,03/26/2025
5784823,03/26/2025
5784866,03/27/2025
5784889,02/27/2025
5785067,03/29/2025
5785119,03/31/2025
5785244,03/31/2025
5785248,03/28/2025
5785250,03/31/2025
5785252,03/28/2025
5785253,03/31/2025
5785258,03/27/2025
5785259,03/25/2025
5785301,03/29/2025
5785341,04/1/2025
5785385,03/6/2025
5785501,03/25/2025
5785513,03/31/2025
5785514,04/1/2025
5785519,04/1/2025
5785585,04/2/2025
5785599,03/25/2025
5785664,03/18/2025
5785794,02/26/2025
5785819,04/2/2025
5785913,04/2/2025
5785976,04/3/2025
5786000,04/6/2025
5786009,04/4/2025
5786010,04/4/2025
5786020,04/4/2025
5786027,04/4/2025
5786028,04/4/2025
